,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
4,2019-11-01,1511.4,1515.6705322265625,,-4.1534423828125,-1.0,,
9,2019-10-25,1499.5,1519.823974609375,11.900000000000091,-17.64697265625,-1.0,-11.900000000000091,105.89999999999918
14,2019-10-18,1488.2,1537.470947265625,11.299999999999955,14.166748046875,1.0,11.299999999999955,117.79999999999927
19,2019-10-11,1482.7,1523.30419921875,5.5,-36.669677734375,-1.0,-5.5,106.49999999999932
24,2019-10-04,1506.2,1559.973876953125,-23.5,22.3719482421875,1.0,-23.5,111.99999999999932
29,2019-09-27,1499.1,1537.6019287109375,7.100000000000136,-16.79150390625,-1.0,-7.100000000000136,135.49999999999932
34,2019-09-20,1508.0,1554.3934326171875,-8.900000000000091,-30.5828857421875,-1.0,8.900000000000091,142.59999999999945
39,2019-09-13,1492.9,1584.976318359375,15.099999999999909,16.229736328125,1.0,15.099999999999909,133.69999999999936
44,2019-09-06,1509.0,1568.74658203125,-16.09999999999991,10.5426025390625,1.0,-16.09999999999991,118.59999999999945
48,2019-08-30,1523.0,1558.2039794921875,-14.0,8.9495849609375,1.0,-14.0,134.69999999999936
53,2019-08-23,1526.6,1549.25439453125,-3.599999999999909,55.405029296875,1.0,-3.599999999999909,148.69999999999936
58,2019-08-16,1512.5,1493.849365234375,14.099999999999909,37.865966796875,1.0,14.099999999999909,152.29999999999927
63,2019-08-09,1496.6,1455.9833984375,15.900000000000091,-1.0108642578125,-1.0,-15.900000000000091,138.19999999999936
68,2019-08-02,1445.6,1456.9942626953125,51.0,13.5902099609375,1.0,51.0,154.09999999999945
73,2019-07-26,1419.3,1443.404052734375,26.299999999999955,11.4127197265625,1.0,26.299999999999955,103.09999999999945
78,2019-07-19,1426.7,1431.9913330078125,-7.400000000000091,-5.9873046875,-1.0,7.400000000000091,76.7999999999995
83,2019-07-12,1412.2,1437.9786376953125,14.5,79.371337890625,1.0,14.5,69.39999999999941
88,2019-07-05,1400.1,1358.6072998046875,12.100000000000136,0.0,0.0,0.0,54.89999999999941
92,2019-06-28,1413.7,1358.6072998046875,-13.600000000000136,19.537841796875,1.0,-13.600000000000136,54.89999999999941
97,2019-06-21,1396.2,1339.0694580078125,17.5,27.427490234375,1.0,17.5,68.49999999999955
102,2019-06-14,1340.1,1311.6419677734375,56.100000000000136,33.6444091796875,1.0,56.100000000000136,50.999999999999545
107,2019-06-07,1341.2,1277.99755859375,-1.1000000000001364,1.03173828125,1.0,-1.1000000000001364,-5.100000000000591
112,2019-05-31,1305.8,1276.9658203125,35.40000000000009,-17.743408203125,-1.0,-35.40000000000009,-4.000000000000455
116,2019-05-24,1283.0,1294.709228515625,22.799999999999955,26.7894287109375,1.0,22.799999999999955,31.399999999999636
121,2019-05-17,1274.5,1267.9197998046875,8.5,4.3731689453125,1.0,8.5,8.599999999999682
126,2019-05-10,1285.7,1263.546630859375,-11.200000000000045,7.5799560546875,1.0,-11.200000000000045,0.09999999999968168
131,2019-05-03,1279.2,1255.9666748046875,6.5,-20.8973388671875,-1.0,-6.5,11.299999999999727
136,2019-04-26,1284.9,1276.864013671875,-5.7000000000000455,-8.0335693359375,-1.0,5.7000000000000455,17.799999999999727
145,2019-04-12,1290.6,1284.8975830078125,-5.699999999999818,-28.50634765625,-1.0,5.699999999999818,12.099999999999682
150,2019-04-05,1290.4,1313.4039306640625,0.1999999999998181,7.596435546875,1.0,0.1999999999998181,6.399999999999864
155,2019-03-29,1293.0,1305.8074951171875,-2.599999999999909,12.0667724609375,1.0,-2.599999999999909,6.2000000000000455
160,2019-03-22,1311.6,1293.74072265625,-18.59999999999991,-1.1439208984375,-1.0,18.59999999999991,8.799999999999955
165,2019-03-15,1301.8,1294.8846435546875,9.799999999999955,-45.921875,-1.0,-9.799999999999955,-9.799999999999955
170,2019-03-08,1297.0,1340.8065185546875,4.7999999999999545,,,,
