,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
4,2019-11-01,1784.3,1709.94873046875,,55.3988037109375,1.0,,
9,2019-10-25,1744.2,1654.5499267578125,40.09999999999991,38.478759765625,1.0,40.09999999999991,412.9000000000001
14,2019-10-18,1717.6,1616.0711669921875,26.600000000000136,13.30615234375,1.0,26.600000000000136,372.8000000000002
19,2019-10-11,1670.1,1602.7650146484375,47.5,17.926025390625,1.0,47.5,346.20000000000005
24,2019-10-04,1642.4,1584.8389892578125,27.699999999999818,38.6678466796875,1.0,27.699999999999818,298.70000000000005
29,2019-09-27,1652.9,1546.171142578125,-10.5,39.86572265625,1.0,-10.5,271.0000000000002
34,2019-09-20,1626.8,1506.305419921875,26.100000000000136,49.5799560546875,1.0,26.100000000000136,281.5000000000002
39,2019-09-13,1600.5,1456.7254638671875,26.299999999999955,25.9930419921875,1.0,26.299999999999955,255.4000000000001
44,2019-09-06,1544.1,1430.732421875,56.40000000000009,3.203857421875,1.0,56.40000000000009,229.10000000000014
48,2019-08-30,1538.6,1427.528564453125,5.5,35.5909423828125,1.0,5.5,172.70000000000005
53,2019-08-23,1454.3,1391.9376220703125,84.29999999999995,-19.2733154296875,-1.0,-84.29999999999995,167.20000000000005
58,2019-08-16,1441.3,1411.2109375,13.0,-93.17041015625,-1.0,-13.0,251.5
63,2019-08-09,1419.3,1504.38134765625,22.0,13.995849609375,1.0,22.0,264.5
68,2019-08-02,1404.2,1490.385498046875,15.099999999999909,-32.3985595703125,-1.0,-15.099999999999909,242.5
73,2019-07-26,1531.0,1522.7840576171875,-126.79999999999995,-6.8485107421875,-1.0,126.79999999999995,257.5999999999999
78,2019-07-19,1508.3,1529.632568359375,22.700000000000045,23.39794921875,1.0,22.700000000000045,130.79999999999995
83,2019-07-12,1542.4,1506.234619140625,-34.100000000000136,103.7681884765625,1.0,-34.100000000000136,108.09999999999991
88,2019-07-05,1564.2,1402.4664306640625,-21.799999999999955,0.0,0.0,-0.0,142.20000000000005
92,2019-06-28,1537.6,1402.4664306640625,26.600000000000136,87.4476318359375,1.0,26.600000000000136,142.20000000000005
97,2019-06-21,1491.3,1315.018798828125,46.299999999999955,14.9466552734375,1.0,46.299999999999955,115.59999999999991
102,2019-06-14,1452.7,1300.0721435546875,38.59999999999991,6.2537841796875,1.0,38.59999999999991,69.29999999999995
107,2019-06-07,1349.5,1293.818359375,103.20000000000005,-6.1773681640625,-1.0,-103.20000000000005,30.700000000000045
112,2019-05-31,1333.9,1299.9957275390625,15.599999999999909,4.6495361328125,1.0,15.599999999999909,133.9000000000001
116,2019-05-24,1330.4,1295.34619140625,3.5,-18.6766357421875,-1.0,-3.5,118.30000000000018
121,2019-05-17,1310.5,1314.0228271484375,19.90000000000009,-59.6026611328125,-1.0,-19.90000000000009,121.80000000000018
126,2019-05-10,1355.4,1373.62548828125,-44.90000000000009,20.6182861328125,1.0,-44.90000000000009,141.70000000000027
131,2019-05-03,1362.7,1353.0072021484375,-7.2999999999999545,43.9659423828125,1.0,-7.2999999999999545,186.60000000000036
136,2019-04-26,1452.2,1309.041259765625,-89.5,-42.7574462890625,-1.0,89.5,193.90000000000032
145,2019-04-12,1355.2,1351.7987060546875,97.0,-188.4559326171875,-1.0,-97.0,104.40000000000032
150,2019-04-05,1349.1,1540.254638671875,6.100000000000136,14.068359375,1.0,6.100000000000136,201.40000000000032
155,2019-03-29,1345.0,1526.186279296875,4.099999999999909,38.0614013671875,1.0,4.099999999999909,195.30000000000018
160,2019-03-22,1535.9,1488.1248779296875,-190.9000000000001,-9.0701904296875,-1.0,190.9000000000001,191.20000000000027
165,2019-03-15,1535.6,1497.195068359375,0.3000000000001819,36.7835693359375,1.0,0.3000000000001819,0.3000000000001819
170,2019-03-08,1489.0,1460.4114990234375,46.59999999999991,,,,
