,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
4,2019-11-01,18.052,17.72222900390625,,-0.12409782409667969,-1.0,,
9,2019-10-25,17.926,17.84632682800293,0.12600000000000122,-0.030397415161132812,-1.0,-0.12600000000000122,1.8260000000000023
14,2019-10-18,17.578,17.876724243164062,0.347999999999999,0.12371063232421875,1.0,0.347999999999999,1.9520000000000035
19,2019-10-11,17.544,17.753013610839844,0.03399999999999892,-0.5735893249511719,-1.0,-0.03399999999999892,1.6040000000000045
24,2019-10-04,17.625,18.326602935791016,-0.08099999999999952,0.2007312774658203,1.0,-0.08099999999999952,1.6380000000000035
29,2019-09-27,17.652,18.125871658325195,-0.027000000000001023,-0.6535606384277344,-1.0,0.027000000000001023,1.719000000000003
34,2019-09-20,17.738,18.77943229675293,-0.08599999999999852,0.030618667602539062,1.0,-0.08599999999999852,1.692000000000002
39,2019-09-13,17.436,18.74881362915039,0.3019999999999996,1.2923450469970703,1.0,0.3019999999999996,1.7780000000000005
44,2019-09-06,17.968,17.45646858215332,-0.532,0.3484077453613281,1.0,-0.532,1.4760000000000009
48,2019-08-30,18.185,17.108060836791992,-0.21699999999999875,0.1479034423828125,1.0,-0.21699999999999875,2.008000000000001
53,2019-08-23,17.413,16.96015739440918,0.7719999999999985,0.43186378479003906,1.0,0.7719999999999985,2.2249999999999996
58,2019-08-16,17.122,16.52829360961914,0.29100000000000037,-0.12526321411132812,-1.0,-0.29100000000000037,1.4530000000000012
63,2019-08-09,16.930999999999994,16.65355682373047,0.19100000000000605,0.2407703399658203,1.0,0.19100000000000605,1.7440000000000015
68,2019-08-02,16.27,16.41278648376465,0.6609999999999943,1.1747121810913086,1.0,0.6609999999999943,1.5529999999999955
73,2019-07-26,16.325,15.23807430267334,-0.054999999999999716,0.29405784606933594,1.0,-0.054999999999999716,0.8920000000000012
78,2019-07-19,16.117,14.944016456604004,0.2079999999999984,-0.1662759780883789,-1.0,-0.2079999999999984,0.947000000000001
83,2019-07-12,15.161,15.110292434692383,0.9560000000000013,0.8375797271728516,1.0,0.9560000000000013,1.1549999999999994
88,2019-07-05,14.918,14.272712707519531,0.24300000000000033,0.0,0.0,0.0,0.19899999999999807
92,2019-06-28,15.253,14.272712707519531,-0.33500000000000085,-0.08971881866455078,-1.0,0.33500000000000085,0.19899999999999807
97,2019-06-21,15.29,14.362431526184082,-0.036999999999999034,0.13387680053710938,1.0,-0.036999999999999034,-0.13600000000000279
102,2019-06-14,14.803,14.228554725646973,0.4869999999999983,0.2949228286743164,1.0,0.4869999999999983,-0.09900000000000375
107,2019-06-07,15.031,13.933631896972656,-0.22799999999999976,-0.06171226501464844,-1.0,0.22799999999999976,-0.5860000000000021
112,2019-05-31,14.567,13.995344161987305,0.4640000000000004,-0.3878660202026367,-1.0,-0.4640000000000004,-0.8140000000000018
116,2019-05-24,14.52,14.383210182189941,0.0470000000000006,-0.09946823120117188,-1.0,-0.0470000000000006,-0.3500000000000014
121,2019-05-17,14.348,14.482678413391113,0.17199999999999882,-0.3174266815185547,-1.0,-0.17199999999999882,-0.3030000000000008
126,2019-05-10,14.726,14.800105094909668,-0.3780000000000001,0.31684112548828125,1.0,-0.3780000000000001,-0.131000000000002
131,2019-05-03,14.907,14.483263969421387,-0.18099999999999916,-0.1268301010131836,-1.0,0.18099999999999916,0.2469999999999981
136,2019-04-26,15.002,14.61009407043457,-0.09500000000000064,-0.46461009979248047,-1.0,0.09500000000000064,0.06599999999999895
145,2019-04-12,14.92,15.07470417022705,0.08200000000000074,-0.36727428436279297,-1.0,-0.08200000000000074,-0.02900000000000169
150,2019-04-05,15.043,15.441978454589844,-0.12299999999999933,0.11452579498291016,1.0,-0.12299999999999933,0.05299999999999905
155,2019-03-29,15.06,15.327452659606934,-0.017000000000001236,0.033644676208496094,1.0,-0.017000000000001236,0.17599999999999838
160,2019-03-22,15.345,15.293807983398438,-0.28500000000000014,-0.1891002655029297,-1.0,0.28500000000000014,0.19299999999999962
165,2019-03-15,15.253,15.482908248901367,0.09200000000000053,-0.6062984466552734,-1.0,-0.09200000000000053,-0.09200000000000053
170,2019-03-08,15.272,16.08920669555664,-0.019000000000000128,,,,
